n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.5445829338446788,0.560077519379845
2,1,0.5311601150527325,0.5717054263565892
2,2,0.5311601150527325,0.5717054263565892
2,3,0.5311601150527325,0.5717054263565892
2,4,0.5311601150527325,0.5717054263565892
2,5,0.5311601150527325,0.5717054263565892
2,6,0.5311601150527325,0.5717054263565892
2,7,0.5311601150527325,0.5717054263565892
2,8,0.5311601150527325,0.5717054263565892
2,9,0.5311601150527325,0.5717054263565892
16,0,0.4947267497603068,0.5058139534883721
16,1,0.4947267497603068,0.5058139534883721
16,2,0.4947267497603068,0.5058139534883721
16,3,0.4947267497603068,0.5058139534883721
16,4,0.4947267497603068,0.5058139534883721
16,5,0.4947267497603068,0.5058139534883721
16,6,0.4947267497603068,0.5058139534883721
16,7,0.4947267497603068,0.5058139534883721
16,8,0.4947267497603068,0.5058139534883721
16,9,0.4947267497603068,0.5058139534883721
32,0,0.5148609779482263,0.5213178294573644
32,1,0.45158197507190795,0.44573643410852715
32,2,0.45158197507190795,0.44573643410852715
32,3,0.45158197507190795,0.44573643410852715
32,4,0.45158197507190795,0.44573643410852715
32,5,0.45158197507190795,0.44573643410852715
32,6,0.45158197507190795,0.44573643410852715
32,7,0.45158197507190795,0.44573643410852715
32,8,0.45158197507190795,0.44573643410852715
32,9,0.45158197507190795,0.44573643410852715
64,0,0.5254074784276127,0.5155038759689923
64,1,0.5532118887823586,0.5523255813953488
64,2,0.5532118887823586,0.5523255813953488
64,3,0.5532118887823586,0.5523255813953488
64,4,0.5532118887823586,0.5523255813953488
64,5,0.5532118887823586,0.5523255813953488
64,6,0.5532118887823586,0.5523255813953488
64,7,0.5532118887823586,0.5523255813953488
64,8,0.5532118887823586,0.5523255813953488
64,9,0.5532118887823586,0.5523255813953488
128,0,0.6251198465963567,0.625968992248062
128,1,0.6414189837008629,0.6317829457364341
128,2,0.6414189837008629,0.6317829457364341
128,3,0.6414189837008629,0.6317829457364341
128,4,0.6414189837008629,0.6317829457364341
128,5,0.6414189837008629,0.6317829457364341
128,6,0.6414189837008629,0.6317829457364341
128,7,0.6414189837008629,0.6317829457364341
128,8,0.6414189837008629,0.6317829457364341
128,9,0.6414189837008629,0.6317829457364341
