n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.3710450623202301,0.39341085271317827
2,1,0.4851390220517737,0.5077519379844961
2,2,0.4851390220517737,0.5077519379844961
2,3,0.4851390220517737,0.5077519379844961
2,4,0.4851390220517737,0.5077519379844961
2,5,0.4851390220517737,0.5077519379844961
2,6,0.4851390220517737,0.5077519379844961
2,7,0.4851390220517737,0.5077519379844961
2,8,0.4851390220517737,0.5077519379844961
2,9,0.4851390220517737,0.5077519379844961
16,0,0.5129434324065196,0.5213178294573644
16,1,0.5129434324065196,0.5213178294573644
16,2,0.5129434324065196,0.5213178294573644
16,3,0.5129434324065196,0.5213178294573644
16,4,0.5129434324065196,0.5213178294573644
16,5,0.5129434324065196,0.5213178294573644
16,6,0.5129434324065196,0.5213178294573644
16,7,0.5129434324065196,0.5213178294573644
16,8,0.5129434324065196,0.5213178294573644
16,9,0.5129434324065196,0.5213178294573644
32,0,0.5110258868648131,0.5193798449612403
32,1,0.4343240651965484,0.42248062015503873
32,2,0.4343240651965484,0.42248062015503873
32,3,0.4343240651965484,0.42248062015503873
32,4,0.4343240651965484,0.42248062015503873
32,5,0.4343240651965484,0.42248062015503873
32,6,0.4343240651965484,0.42248062015503873
32,7,0.4343240651965484,0.42248062015503873
32,8,0.4343240651965484,0.42248062015503873
32,9,0.4343240651965484,0.42248062015503873
64,0,0.5407478427612655,0.5271317829457365
64,1,0.5608820709491851,0.5387596899224806
64,2,0.5608820709491851,0.5387596899224806
64,3,0.5608820709491851,0.5387596899224806
64,4,0.5608820709491851,0.5387596899224806
64,5,0.5608820709491851,0.5387596899224806
64,6,0.5608820709491851,0.5387596899224806
64,7,0.5608820709491851,0.5387596899224806
64,8,0.5608820709491851,0.5387596899224806
64,9,0.5608820709491851,0.5387596899224806
128,0,0.6299137104506232,0.624031007751938
128,1,0.6423777564717162,0.6472868217054264
128,2,0.6423777564717162,0.6472868217054264
128,3,0.6423777564717162,0.6472868217054264
128,4,0.6423777564717162,0.6472868217054264
128,5,0.6423777564717162,0.6472868217054264
128,6,0.6423777564717162,0.6472868217054264
128,7,0.6423777564717162,0.6472868217054264
128,8,0.6423777564717162,0.6472868217054264
128,9,0.6423777564717162,0.6472868217054264
