n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.4931261207411835,0.5012666666666666
2,1,0.5219665271966527,0.4927
2,2,0.5219665271966527,0.4927
2,3,0.5219665271966527,0.4927
2,4,0.5219665271966527,0.4927
2,5,0.5219665271966527,0.4927
2,6,0.5219665271966527,0.4927
2,7,0.5219665271966527,0.4927
2,8,0.5219665271966527,0.4927
2,9,0.5219665271966527,0.4927
16,0,0.5566347878063359,0.4991333333333333
16,1,0.5566347878063359,0.4991333333333333
16,2,0.5566347878063359,0.4991333333333333
16,3,0.5566347878063359,0.4991333333333333
16,4,0.5566347878063359,0.4991333333333333
16,5,0.5566347878063359,0.4991333333333333
16,6,0.5566347878063359,0.4991333333333333
16,7,0.5566347878063359,0.4991333333333333
16,8,0.5566347878063359,0.4991333333333333
16,9,0.5566347878063359,0.4991333333333333
32,0,0.5603705917513448,0.499
32,1,0.5756126718469815,0.5000333333333333
32,2,0.5756126718469815,0.5000333333333333
32,3,0.5756126718469815,0.5000333333333333
32,4,0.5756126718469815,0.5000333333333333
32,5,0.5756126718469815,0.5000333333333333
32,6,0.5756126718469815,0.5000333333333333
32,7,0.5756126718469815,0.5000333333333333
32,8,0.5756126718469815,0.5000333333333333
32,9,0.5756126718469815,0.5000333333333333
64,0,0.618350268977884,0.4996333333333333
64,1,0.6170053795576809,0.5
64,2,0.6170053795576809,0.5
64,3,0.6170053795576809,0.5
64,4,0.6170053795576809,0.5
64,5,0.6170053795576809,0.5
64,6,0.6170053795576809,0.5
64,7,0.6170053795576809,0.5
64,8,0.6170053795576809,0.5
64,9,0.6170053795576809,0.5
128,0,0.6742378959952182,0.5
128,1,0.6392707710699342,0.5012666666666666
128,2,0.6392707710699342,0.5012666666666666
128,3,0.6392707710699342,0.5012666666666666
128,4,0.6392707710699342,0.5012666666666666
128,5,0.6392707710699342,0.5012666666666666
128,6,0.6392707710699342,0.5012666666666666
128,7,0.6392707710699342,0.5012666666666666
128,8,0.6392707710699342,0.5012666666666666
128,9,0.6392707710699342,0.5012666666666666
