n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.531231321,0.500033333
2,1,0.515690377,0.494966667
2,2,0.515690377,0.494966667
2,3,0.515690377,0.494966667
2,4,0.515690377,0.494966667
2,5,0.515690377,0.494966667
2,6,0.515690377,0.494966667
2,7,0.515690377,0.494966667
2,8,0.515690377,0.494966667
2,9,0.515690377,0.494966667
16,0,0.549910341,0.490266667
16,1,0.549910341,0.490266667
16,2,0.549910341,0.490266667
16,3,0.549910341,0.490266667
16,4,0.549910341,0.490266667
16,5,0.549910341,0.490266667
16,6,0.549910341,0.490266667
16,7,0.549910341,0.490266667
16,8,0.549910341,0.490266667
16,9,0.549910341,0.490266667
32,0,0.543185894,0.498466667
32,1,0.536461447,0.477566667
32,2,0.536461447,0.477566667
32,3,0.536461447,0.477566667
32,4,0.536461447,0.477566667
32,5,0.536461447,0.477566667
32,6,0.536461447,0.477566667
32,7,0.536461447,0.477566667
32,8,0.536461447,0.477566667
32,9,0.536461447,0.477566667
64,0,0.571279139,0.489233333
64,1,0.587716677,0.500933333
64,2,0.587716677,0.500933333
64,3,0.587716677,0.500933333
64,4,0.587716677,0.500933333
64,5,0.587716677,0.500933333
64,6,0.587716677,0.500933333
64,7,0.587716677,0.500933333
64,8,0.587716677,0.500933333
64,9,0.587716677,0.500933333
128,0,0.6737896,0.5
128,1,0.621787209,0.515233333
128,2,0.621787209,0.515233333
128,3,0.621787209,0.515233333
128,4,0.621787209,0.515233333
128,5,0.621787209,0.515233333
128,6,0.621787209,0.515233333
128,7,0.621787209,0.515233333
128,8,0.621787209,0.515233333
128,9,0.621787209,0.515233333
