n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.5055289898386133,0.5135014172758466
2,1,0.5173341303048417,0.530210353573027
2,2,0.511655708308428,0.5249888109801581
2,3,0.5131500298864315,0.5218558854244368
2,4,0.5134488942020323,0.5284201103983291
2,5,0.5165869695158398,0.5290168581232284
2,6,0.5164375373580394,0.5294644189169029
2,7,0.5164375373580394,0.5285692973295539
2,8,0.5170352659892409,0.5281217365358795
2,9,0.5198744769874477,0.5317022228852752
16,0,0.5827854154213987,0.6006265851111443
16,1,0.5811416616855948,0.5892883783380576
16,2,0.5786013150029886,0.5866030135760107
16,3,0.5790496114763897,0.58719976130091
16,4,0.5797967722653915,0.5857078919886618
16,5,0.5784518828451883,0.5854095181262121
16,6,0.5759115361625822,0.5836192749515142
16,7,0.574566646742379,0.5833209010890646
16,8,0.5730723251643753,0.583022527226615
16,9,0.5733711894799761,0.582127405639266
32,0,0.576658696951584,0.5883932567507086
32,1,0.5721757322175732,0.5845143965388632
32,2,0.568738792588165,0.5861554527823363
32,3,0.5700836820083682,0.5813814709831419
32,4,0.5690376569037657,0.5810830971206923
32,5,0.5697848176927675,0.5812322840519171
32,6,0.5679916317991632,0.5798896016708937
32,7,0.5676927674835625,0.579591227808444
32,8,0.567095038852361,0.5785469192898702
32,9,0.5673939031679618,0.5778009846337461
64,0,0.6693066347878064,0.7025212591376996
64,1,0.6687089061566049,0.6899895569148142
64,2,0.6594441123729826,0.6835745188721468
64,3,0.6558577405857741,0.6776070416231538
64,4,0.6534668260609683,0.6762643592421304
64,5,0.6536162582187687,0.67656273310458
64,6,0.6548117154811716,0.6771594808294793
64,7,0.6557083084279737,0.6768611069670297
64,8,0.6536162582187687,0.6758167984484559
64,9,0.6521219366407651,0.6743249291362077
128,0,0.684997011356844,0.7189318215724303
128,1,0.68335325762104,0.7108757272862897
128,2,0.6823072325164375,0.7081903625242428
128,3,0.6814106395696354,0.7061017454870954
128,4,0.6814106395696354,0.7078919886617933
128,5,0.6826060968320382,0.7071460540056691
128,6,0.6826060968320382,0.7062509324183202
128,7,0.6821578003586372,0.7061017454870954
128,8,0.6827555289898386,0.7064001193495449
128,9,0.6823072325164375,0.7061017454870954
