n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.5637583892617449,0.5930232558139535
2,1,0.48801534036433364,0.5135658914728682
2,2,0.48801534036433364,0.5135658914728682
2,3,0.48801534036433364,0.5135658914728682
2,4,0.48801534036433364,0.5135658914728682
2,5,0.48801534036433364,0.5135658914728682
2,6,0.48801534036433364,0.5135658914728682
2,7,0.48801534036433364,0.5135658914728682
2,8,0.48801534036433364,0.5135658914728682
2,9,0.48801534036433364,0.5135658914728682
16,0,0.5407478427612655,0.5581395348837209
16,1,0.5407478427612655,0.5581395348837209
16,2,0.5407478427612655,0.5581395348837209
16,3,0.5407478427612655,0.5581395348837209
16,4,0.5407478427612655,0.5581395348837209
16,5,0.5407478427612655,0.5581395348837209
16,6,0.5407478427612655,0.5581395348837209
16,7,0.5407478427612655,0.5581395348837209
16,8,0.5407478427612655,0.5581395348837209
16,9,0.5407478427612655,0.5581395348837209
32,0,0.5570469798657718,0.5813953488372093
32,1,0.5244487056567594,0.5213178294573644
32,2,0.5244487056567594,0.5213178294573644
32,3,0.5244487056567594,0.5213178294573644
32,4,0.5244487056567594,0.5213178294573644
32,5,0.5244487056567594,0.5213178294573644
32,6,0.5244487056567594,0.5213178294573644
32,7,0.5244487056567594,0.5213178294573644
32,8,0.5244487056567594,0.5213178294573644
32,9,0.5244487056567594,0.5213178294573644
64,0,0.5119846596356663,0.5155038759689923
64,1,0.5618408437200384,0.5697674418604651
64,2,0.5618408437200384,0.5697674418604651
64,3,0.5618408437200384,0.5697674418604651
64,4,0.5618408437200384,0.5697674418604651
64,5,0.5618408437200384,0.5697674418604651
64,6,0.5618408437200384,0.5697674418604651
64,7,0.5618408437200384,0.5697674418604651
64,8,0.5618408437200384,0.5697674418604651
64,9,0.5618408437200384,0.5697674418604651
128,0,0.5810162991371045,0.6007751937984496
128,1,0.5704697986577181,0.5910852713178295
128,2,0.5704697986577181,0.5910852713178295
128,3,0.5704697986577181,0.5910852713178295
128,4,0.5704697986577181,0.5910852713178295
128,5,0.5704697986577181,0.5910852713178295
128,6,0.5704697986577181,0.5910852713178295
128,7,0.5704697986577181,0.5910852713178295
128,8,0.5704697986577181,0.5910852713178295
128,9,0.5704697986577181,0.5910852713178295
