n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.5714285714285714,0.5949612403100775
2,1,0.49952061361457334,0.5406976744186046
2,2,0.49952061361457334,0.5406976744186046
2,3,0.49952061361457334,0.5406976744186046
2,4,0.49952061361457334,0.5406976744186046
2,5,0.49952061361457334,0.5406976744186046
2,6,0.49952061361457334,0.5406976744186046
2,7,0.49952061361457334,0.5406976744186046
2,8,0.49952061361457334,0.5406976744186046
2,9,0.49952061361457334,0.5406976744186046
16,0,0.5302013422818792,0.560077519379845
16,1,0.5302013422818792,0.560077519379845
16,2,0.5302013422818792,0.560077519379845
16,3,0.5302013422818792,0.560077519379845
16,4,0.5302013422818792,0.560077519379845
16,5,0.5302013422818792,0.560077519379845
16,6,0.5302013422818792,0.560077519379845
16,7,0.5302013422818792,0.560077519379845
16,8,0.5302013422818792,0.560077519379845
16,9,0.5302013422818792,0.560077519379845
32,0,0.5522531160115053,0.5949612403100775
32,1,0.5273250239693192,0.5290697674418605
32,2,0.5273250239693192,0.5290697674418605
32,3,0.5273250239693192,0.5290697674418605
32,4,0.5273250239693192,0.5290697674418605
32,5,0.5273250239693192,0.5290697674418605
32,6,0.5273250239693192,0.5290697674418605
32,7,0.5273250239693192,0.5290697674418605
32,8,0.5273250239693192,0.5290697674418605
32,9,0.5273250239693192,0.5290697674418605
64,0,0.5091083413231065,0.49806201550387597
64,1,0.5618408437200384,0.5775193798449613
64,2,0.5618408437200384,0.5775193798449613
64,3,0.5618408437200384,0.5775193798449613
64,4,0.5618408437200384,0.5775193798449613
64,5,0.5618408437200384,0.5775193798449613
64,6,0.5618408437200384,0.5775193798449613
64,7,0.5618408437200384,0.5775193798449613
64,8,0.5618408437200384,0.5775193798449613
64,9,0.5618408437200384,0.5775193798449613
128,0,0.5838926174496645,0.5968992248062015
128,1,0.5714285714285714,0.5833333333333334
128,2,0.5714285714285714,0.5833333333333334
128,3,0.5714285714285714,0.5833333333333334
128,4,0.5714285714285714,0.5833333333333334
128,5,0.5714285714285714,0.5833333333333334
128,6,0.5714285714285714,0.5833333333333334
128,7,0.5714285714285714,0.5833333333333334
128,8,0.5714285714285714,0.5833333333333334
128,9,0.5714285714285714,0.5833333333333334
