n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.673058485139022,0.6802325581395349
2,1,0.5225311601150527,0.5465116279069767
2,2,0.5225311601150527,0.5465116279069767
2,3,0.5225311601150527,0.5465116279069767
2,4,0.5225311601150527,0.5465116279069767
2,5,0.5225311601150527,0.5465116279069767
2,6,0.5225311601150527,0.5465116279069767
2,7,0.5225311601150527,0.5465116279069767
2,8,0.5225311601150527,0.5465116279069767
2,9,0.5225311601150527,0.5465116279069767
16,0,0.5273250239693192,0.5310077519379846
16,1,0.5273250239693192,0.5310077519379846
16,2,0.5273250239693192,0.5310077519379846
16,3,0.5273250239693192,0.5310077519379846
16,4,0.5273250239693192,0.5310077519379846
16,5,0.5273250239693192,0.5310077519379846
16,6,0.5273250239693192,0.5310077519379846
16,7,0.5273250239693192,0.5310077519379846
16,8,0.5273250239693192,0.5310077519379846
16,9,0.5273250239693192,0.5310077519379846
32,0,0.573346116970278,0.5852713178294574
32,1,0.5618408437200384,0.5484496124031008
32,2,0.5618408437200384,0.5484496124031008
32,3,0.5618408437200384,0.5484496124031008
32,4,0.5618408437200384,0.5484496124031008
32,5,0.5618408437200384,0.5484496124031008
32,6,0.5618408437200384,0.5484496124031008
32,7,0.5618408437200384,0.5484496124031008
32,8,0.5618408437200384,0.5484496124031008
32,9,0.5618408437200384,0.5484496124031008
64,0,0.5944391179290508,0.5910852713178295
64,1,0.588686481303931,0.5717054263565892
64,2,0.588686481303931,0.5717054263565892
64,3,0.588686481303931,0.5717054263565892
64,4,0.588686481303931,0.5717054263565892
64,5,0.588686481303931,0.5717054263565892
64,6,0.588686481303931,0.5717054263565892
64,7,0.588686481303931,0.5717054263565892
64,8,0.588686481303931,0.5717054263565892
64,9,0.588686481303931,0.5717054263565892
128,0,0.6308724832214765,0.624031007751938
128,1,0.6279961649089166,0.6201550387596899
128,2,0.6279961649089166,0.6201550387596899
128,3,0.6279961649089166,0.6201550387596899
128,4,0.6279961649089166,0.6201550387596899
128,5,0.6279961649089166,0.6201550387596899
128,6,0.6279961649089166,0.6201550387596899
128,7,0.6279961649089166,0.6201550387596899
128,8,0.6279961649089166,0.6201550387596899
128,9,0.6279961649089166,0.6201550387596899
