n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.3998082454458293,0.43410852713178294
2,1,0.46116970278044106,0.4903100775193798
2,2,0.46116970278044106,0.4903100775193798
2,3,0.46116970278044106,0.4903100775193798
2,4,0.46116970278044106,0.4903100775193798
2,5,0.46116970278044106,0.4903100775193798
2,6,0.46116970278044106,0.4903100775193798
2,7,0.46116970278044106,0.4903100775193798
2,8,0.46116970278044106,0.4903100775193798
2,9,0.46116970278044106,0.4903100775193798
16,0,0.4851390220517737,0.5058139534883721
16,1,0.4851390220517737,0.5058139534883721
16,2,0.4851390220517737,0.5058139534883721
16,3,0.4851390220517737,0.5058139534883721
16,4,0.4851390220517737,0.5058139534883721
16,5,0.4851390220517737,0.5058139534883721
16,6,0.4851390220517737,0.5058139534883721
16,7,0.4851390220517737,0.5058139534883721
16,8,0.4851390220517737,0.5058139534883721
16,9,0.4851390220517737,0.5058139534883721
32,0,0.5560882070949185,0.5736434108527132
32,1,0.49760306807286675,0.5077519379844961
32,2,0.49760306807286675,0.5077519379844961
32,3,0.49760306807286675,0.5077519379844961
32,4,0.49760306807286675,0.5077519379844961
32,5,0.49760306807286675,0.5077519379844961
32,6,0.49760306807286675,0.5077519379844961
32,7,0.49760306807286675,0.5077519379844961
32,8,0.49760306807286675,0.5077519379844961
32,9,0.49760306807286675,0.5077519379844961
64,0,0.5637583892617449,0.5503875968992248
64,1,0.6279961649089166,0.6453488372093024
64,2,0.6279961649089166,0.6453488372093024
64,3,0.6279961649089166,0.6453488372093024
64,4,0.6279961649089166,0.6453488372093024
64,5,0.6279961649089166,0.6453488372093024
64,6,0.6279961649089166,0.6453488372093024
64,7,0.6279961649089166,0.6453488372093024
64,8,0.6279961649089166,0.6453488372093024
64,9,0.6279961649089166,0.6453488372093024
128,0,0.6423777564717162,0.6569767441860465
128,1,0.5944391179290508,0.5910852713178295
128,2,0.5944391179290508,0.5910852713178295
128,3,0.5944391179290508,0.5910852713178295
128,4,0.5944391179290508,0.5910852713178295
128,5,0.5944391179290508,0.5910852713178295
128,6,0.5944391179290508,0.5910852713178295
128,7,0.5944391179290508,0.5910852713178295
128,8,0.5944391179290508,0.5910852713178295
128,9,0.5944391179290508,0.5910852713178295
