n,run,in_domain_accuracy,out_of_domain_accuracy
2,0,0.49222952779438134,0.49500223780396835
2,1,0.551255230125523,0.5725794420408772
2,2,0.551255230125523,0.5725794420408772
2,3,0.551255230125523,0.5725794420408772
2,4,0.551255230125523,0.5725794420408772
2,5,0.551255230125523,0.5725794420408772
2,6,0.551255230125523,0.5725794420408772
2,7,0.551255230125523,0.5725794420408772
2,8,0.551255230125523,0.5725794420408772
2,9,0.551255230125523,0.5725794420408772
16,0,0.5932456664674238,0.6033119498731911
16,1,0.5932456664674238,0.6033119498731911
16,2,0.5932456664674238,0.6033119498731911
16,3,0.5932456664674238,0.6033119498731911
16,4,0.5932456664674238,0.6033119498731911
16,5,0.5932456664674238,0.6033119498731911
16,6,0.5932456664674238,0.6033119498731911
16,7,0.5932456664674238,0.6033119498731911
16,8,0.5932456664674238,0.6033119498731911
16,9,0.5932456664674238,0.6033119498731911
32,0,0.6243275552898984,0.6356855139489781
32,1,0.6325463239689181,0.6468745337908399
32,2,0.6325463239689181,0.6468745337908399
32,3,0.6325463239689181,0.6468745337908399
32,4,0.6325463239689181,0.6468745337908399
32,5,0.6325463239689181,0.6468745337908399
32,6,0.6325463239689181,0.6468745337908399
32,7,0.6325463239689181,0.6468745337908399
32,8,0.6325463239689181,0.6468745337908399
32,9,0.6325463239689181,0.6468745337908399
64,0,0.682904961147639,0.7020736983440251
64,1,0.6445008965929468,0.6634342831567954
64,2,0.6445008965929468,0.6634342831567954
64,3,0.6445008965929468,0.6634342831567954
64,4,0.6445008965929468,0.6634342831567954
64,5,0.6445008965929468,0.6634342831567954
64,6,0.6445008965929468,0.6634342831567954
64,7,0.6445008965929468,0.6634342831567954
64,8,0.6445008965929468,0.6634342831567954
64,9,0.6445008965929468,0.6634342831567954
128,0,0.6876867901972504,0.7077428017305684
128,1,0.6842498505678422,0.7153513352230345
128,2,0.6842498505678422,0.7153513352230345
128,3,0.6842498505678422,0.7153513352230345
128,4,0.6842498505678422,0.7153513352230345
128,5,0.6842498505678422,0.7153513352230345
128,6,0.6842498505678422,0.7153513352230345
128,7,0.6842498505678422,0.7153513352230345
128,8,0.6842498505678422,0.7153513352230345
128,9,0.6842498505678422,0.7153513352230345
